STATE,CLUSTER,AGEFLAG,HOMEOWNR,GENDER,DATASRCE,SOLIH,VETERANS,RFA_2R,RFA_2A,GEOCODE2,DOMAIN_A,DOMAIN_B
FL,22,U,U,F,0,4,N,L,D,C,C,1
other,47,U,U,F,2,4,N,L,D,D,R,2
CA,17,E,H,F,2,12,Y,L,E,A,S,2
other,40,E,U,M,2,4,N,L,G,C,T,2
CA,31,E,H,F,2,4,N,L,F,B,C,3
CA,27,E,H,M,3,4,N,L,G,C,C,2
other,42,E,U,F,2,4,N,L,E,D,R,1
WI,49,E,H,F,2,4,N,L,E,D,R,2
other,36,I,H,F,2,4,N,L,F,D,T,2
other,51,U,U,F,0,4,N,L,F,D,R,3
other,30,E,H,M,3,4,N,L,F,B,C,3
other,34,E,H,M,3,4,N,L,F,B,T,1
other,16,I,U,M,2,4,N,L,F,B,S,2
other,17,E,U,F,3,4,N,L,F,A,S,2
FL,28,E,H,M,3,4,N,L,G,A,C,2
NC,35,E,U,F,3,4,N,L,F,B,T,1
CA,12,U,H,M,1,4,N,L,F,B,S,1
other,30,E,H,F,3,4,N,L,E,B,C,3
CA,38,U,U,F,0,12,N,L,E,C,T,2
other,43,U,U,other,3,4,N,L,E,D,R,2
CA,2,E,H,F,2,4,N,L,F,A,U,1
other,51,E,H,F,2,4,N,L,E,D,R,3
CA,21,U,U,F,0,4,N,L,E,A,S,3
CA,41,E,H,M,3,4,N,L,E,B,T,3
other,21,U,U,M,0,4,N,L,G,B,S,3
CA,18,E,H,F,3,4,N,L,G,A,S,2
GA,49,E,H,M,2,4,N,L,G,C,R,2
other,35,E,U,M,1,12,Y,L,F,D,T,1
IL,22,I,U,F,0,4,N,L,E,C,C,1
CA,21,E,H,M,3,4,N,L,F,A,S,3
other,51,U,U,M,1,4,N,L,F,D,R,3
other,10,U,U,F,0,4,N,L,G,A,U,4
MO,30,E,H,F,2,4,N,L,F,C,C,3
TX,13,E,H,F,3,4,N,L,F,A,S,1
other,24,E,H,M,3,4,N,L,G,C,C,1
TX,13,E,H,M,3,4,Y,L,F,A,S,1
other,39,E,H,M,3,4,Y,L,D,B,T,2
other,15,E,U,M,3,4,N,L,G,B,S,1
other,36,E,H,M,2,4,Y,L,F,D,T,2
FL,29,E,H,F,3,4,Y,L,E,A,C,2
CA,29,I,H,M,1,4,N,L,E,A,C,2
other,31,E,U,F,3,4,N,L,D,C,C,3
CA,24,U,U,F,0,12,N,L,E,B,C,1
CA,17,U,H,F,3,4,N,L,G,A,S,2
MI,38,E,U,F,3,4,N,L,E,C,T,2
CA,40,E,H,F,2,4,N,L,F,A,R,2
TX,17,E,H,F,3,4,N,L,G,A,S,2
IN,39,E,U,F,3,4,Y,L,F,D,T,2
other,35,I,U,F,0,4,N,L,F,C,T,1
MI,43,E,U,F,3,4,N,L,F,C,R,2
other,16,E,H,M,2,4,Y,L,G,B,S,2
other,22,I,U,F,0,4,N,L,F,B,C,1
IL,7,E,U,F,3,4,N,L,E,A,U,2
TX,43,E,H,M,2,4,Y,L,F,C,R,2
CA,2,E,U,M,2,4,N,L,F,A,U,1
TX,17,E,H,M,3,4,N,L,F,A,S,2
FL,21,E,U,M,2,4,N,L,F,A,S,3
MI,17,U,H,M,3,4,N,L,F,A,S,2
other,30,E,H,M,3,4,Y,L,G,A,C,3
MI,36,U,U,M,3,4,N,L,E,A,T,2
other,40,E,H,F,3,12,N,L,G,D,T,2
CA,11,E,H,F,2,4,N,L,E,B,S,1
IL,16,I,H,F,3,4,N,L,G,A,S,2
other,47,U,U,F,0,4,N,L,F,D,R,2
FL,24,E,H,F,3,4,Y,L,F,B,C,1
other,21,E,U,M,2,12,Y,L,F,B,S,3
WI,5,E,H,F,2,4,Y,L,F,B,U,2
MI,28,E,H,M,3,4,N,L,G,B,C,2
WI,40,E,H,M,3,4,N,L,E,B,T,2
other,28,U,U,F,0,4,N,L,F,A,C,2
CA,1,U,U,F,0,4,N,L,F,A,U,1
other,49,E,H,M,2,4,N,L,F,D,R,2
other,17,U,U,M,0,4,N,L,G,C,S,2
CA,20,I,H,M,3,4,N,L,F,A,S,2
IL,1,E,U,M,3,4,N,L,F,A,U,1
GA,15,U,U,F,0,4,N,L,G,B,S,1
other,36,U,U,F,3,4,N,L,E,C,T,2
CA,22,E,H,F,3,4,N,L,F,B,C,1
WI,10,U,U,F,1,4,N,L,F,B,U,4
CA,1,U,U,M,0,4,N,L,G,A,U,1
other,53,U,U,F,0,4,N,L,F,D,R,3
TX,32,E,H,F,2,4,N,L,F,B,C,3
WA,3,U,H,F,3,4,N,L,E,A,U,1
WA,35,E,H,F,3,4,N,L,E,C,T,1
FL,23,U,H,F,3,4,N,L,F,C,C,1
GA,34,I,H,F,3,4,Y,L,F,A,T,1
CA,8,E,H,M,3,4,N,L,E,A,U,3
other,51,U,U,F,3,4,N,L,G,D,R,3
other,46,E,U,M,3,4,N,L,F,D,R,2
IL,12,U,U,F,0,4,N,L,F,A,S,1
FL,10,E,H,M,3,4,N,L,F,A,U,4
MI,35,E,U,F,3,12,N,L,F,A,T,1
other,30,U,U,F,0,4,N,L,F,B,C,3
other,23,E,H,M,1,4,N,L,G,B,C,1
CA,34,U,H,F,2,4,N,L,F,B,T,1
FL,7,E,H,M,3,4,N,L,F,A,U,2
other,40,I,U,M,0,4,N,L,F,A,T,2
CA,8,E,H,M,3,4,Y,L,F,B,U,3
CA,19,E,H,M,2,4,N,L,F,A,S,2
IL,40,E,U,F,3,4,N,L,F,A,R,2
IL,40,E,U,F,2,4,N,L,F,A,R,2
IN,49,U,U,F,0,4,N,L,F,D,R,2
other,49,E,U,F,3,4,N,L,E,D,R,2
other,36,U,U,F,0,4,N,L,D,D,T,2
TX,32,U,U,M,2,4,N,L,F,A,C,3
CA,27,U,U,F,0,4,N,L,D,B,C,2
other,34,E,U,M,3,4,N,L,F,B,T,1
CA,52,E,H,M,2,4,N,L,E,B,R,3
CA,1,E,H,F,3,4,N,L,F,A,U,1
WA,28,E,H,M,3,4,N,L,G,C,C,2
MI,10,E,U,F,3,4,N,L,G,A,U,4
MI,10,E,H,M,3,4,N,L,F,A,U,4
other,35,U,U,F,3,4,N,L,F,D,T,1
other,42,I,U,F,0,4,N,L,E,C,R,1
MI,27,E,H,M,1,4,Y,L,F,B,C,2
other,11,E,U,M,3,4,N,L,F,B,S,1
CA,10,U,U,F,0,4,N,L,F,B,U,4
NC,47,U,U,F,3,4,N,L,D,D,R,2
other,42,U,U,F,1,4,N,L,F,D,R,1
IN,27,E,H,F,3,4,N,L,F,C,C,2
CA,15,U,U,M,0,4,N,L,F,A,S,1
other,21,U,U,F,0,4,N,L,F,B,S,3
TX,13,U,U,F,0,4,N,L,F,A,S,1
FL,36,U,U,F,2,4,N,L,G,C,T,2
other,14,E,H,F,3,4,N,L,G,B,S,1
other,12,U,H,F,3,4,N,L,F,B,S,1
IN,30,E,H,M,2,4,Y,L,D,A,C,3
IL,49,E,H,M,2,4,N,L,F,B,R,2
WI,8,E,H,F,2,4,N,L,E,B,U,3
other,46,U,U,F,0,4,N,L,F,C,R,2
CA,12,E,H,M,3,4,Y,L,E,A,S,1
IL,11,E,U,F,1,4,N,L,F,A,S,1
other,24,E,H,M,3,12,N,L,F,B,C,1
CA,24,E,H,M,3,4,N,L,G,A,C,1
other,18,U,U,M,0,4,N,L,G,B,S,2
CA,52,E,U,F,2,4,N,L,G,B,R,3
FL,24,U,U,F,0,4,N,L,E,C,C,1
other,24,E,H,M,3,4,Y,L,F,C,C,1
FL,37,U,U,F,2,4,N,L,F,C,T,2
FL,13,E,H,M,2,4,Y,L,F,B,S,1
FL,24,E,H,M,3,4,Y,L,F,A,C,1
TX,42,E,H,M,3,4,Y,L,G,D,R,1
TX,8,I,U,F,0,4,N,L,G,A,U,3
other,46,E,H,M,3,1,N,L,F,D,R,2
IN,46,U,U,other,2,4,N,L,E,B,R,2
other,18,E,H,M,3,12,N,L,D,B,S,2
other,51,E,U,F,1,4,N,L,E,D,R,3
other,30,E,H,F,3,4,N,L,F,D,C,3
WI,5,E,H,F,3,4,N,L,F,B,U,2
other,42,E,U,M,3,4,N,L,F,D,R,1
MO,41,E,H,M,3,4,N,L,F,D,T,3
WA,24,U,U,F,0,12,N,L,E,A,C,1
other,51,U,U,F,0,12,N,L,F,D,R,3
IL,22,E,H,F,3,4,N,L,F,A,C,1
TX,53,E,U,M,2,4,N,L,F,D,R,3
other,40,E,H,F,2,4,N,L,F,B,T,2
CA,2,E,H,F,3,4,N,L,F,A,U,1
other,31,U,U,F,0,4,N,L,D,B,C,3
other,46,U,U,M,0,4,N,L,F,B,R,2
other,30,E,U,M,3,4,N,L,E,B,C,3
other,40,E,H,F,3,4,N,L,E,D,T,2
other,8,E,H,M,3,4,N,L,F,B,U,3
FL,41,U,H,F,3,4,N,L,F,B,T,3
FL,18,E,H,M,3,4,N,L,F,A,S,2
CA,7,E,H,M,3,4,Y,L,G,A,U,2
TX,43,E,U,F,2,4,N,L,F,C,R,2
other,24,E,H,M,3,12,Y,L,G,C,C,1
TX,52,U,H,F,3,4,N,L,D,D,R,3
other,36,E,H,M,3,4,N,L,F,D,T,2
TX,16,E,H,F,3,12,N,L,G,A,S,2
CA,40,I,H,F,1,4,N,L,F,A,T,2
CA,19,U,U,F,0,4,N,L,F,A,S,2
CA,35,E,H,M,3,4,N,L,F,A,T,1
MO,39,U,U,M,0,4,N,L,F,D,T,2
WA,30,U,U,F,0,4,N,L,F,A,C,3
IN,35,E,H,M,3,4,N,L,G,C,T,1
TX,13,E,H,M,3,4,N,L,D,B,S,1
MI,51,U,U,F,0,4,N,L,F,D,R,3
other,49,U,U,F,0,4,N,L,F,D,R,2
TX,45,U,U,F,2,4,N,L,F,D,R,2
TX,19,E,U,F,3,4,N,L,F,B,S,2
MO,35,E,H,F,3,4,N,L,F,A,T,1
MO,10,E,H,F,3,4,N,L,F,B,U,4
other,39,U,U,F,0,4,N,L,F,B,T,2
MI,16,E,H,M,3,4,N,L,F,A,S,2
MO,2,E,U,F,3,4,N,L,G,A,U,1
other,44,E,U,F,3,4,Y,L,E,D,R,2
other,9,E,H,F,3,4,N,L,F,A,U,3
GA,30,E,H,F,3,4,N,L,F,B,C,3
FL,2,U,U,F,2,4,N,L,G,A,U,1
TX,4,E,H,F,2,4,N,L,F,A,U,2
other,24,E,H,F,3,4,N,L,F,C,C,1
other,8,E,H,F,3,4,N,L,E,D,U,3
other,27,E,H,M,3,4,Y,L,F,B,C,2
IL,8,E,H,M,2,4,N,L,D,A,U,3
other,53,E,H,M,3,0,N,L,F,D,R,3
other,45,U,U,M,3,4,N,L,F,D,R,2
other,34,I,U,F,0,4,N,L,D,B,T,1
other,35,U,H,M,3,4,Y,L,G,A,T,1
FL,18,E,H,F,3,4,N,L,F,A,S,2
CA,42,E,H,M,3,4,N,L,D,B,R,1
CA,39,U,U,M,0,4,N,L,G,A,T,2
NC,46,I,U,F,0,4,N,L,G,D,R,2
NC,24,U,U,other,3,12,N,L,F,B,C,1
other,30,E,H,F,2,4,N,L,F,B,C,3
other,26,U,U,F,0,4,N,L,F,B,C,2
MO,43,E,H,F,2,4,Y,L,F,B,R,2
WA,31,E,H,F,3,4,N,L,E,B,C,3
IL,16,E,H,F,3,4,N,L,D,A,S,2
other,50,E,H,F,2,4,N,L,G,D,R,3
FL,41,U,U,M,0,4,N,L,E,B,T,3
CA,11,U,H,other,3,4,N,L,D,A,S,1
FL,28,U,U,F,0,4,N,L,D,B,C,2
IL,45,E,H,M,3,4,N,L,G,D,R,2
CA,34,E,U,F,2,4,N,L,D,A,T,1
other,49,U,H,F,2,4,N,L,D,D,R,2
CA,52,E,H,F,3,4,N,L,G,C,R,3
TX,30,E,H,M,3,4,Y,L,E,C,C,3
CA,11,E,H,M,3,4,N,L,F,A,S,1
other,34,U,H,M,3,4,N,L,F,D,T,1
other,45,E,H,M,2,4,Y,L,F,D,R,2
other,40,E,H,F,3,4,Y,L,F,B,T,2
CA,12,I,U,F,0,4,N,L,G,A,S,1
CA,40,E,H,F,3,4,Y,L,F,A,T,2
IL,35,I,H,M,3,4,N,L,F,B,T,1
IN,12,E,U,M,2,4,Y,L,G,A,S,1
FL,13,E,U,F,3,4,N,L,E,B,S,1
CA,1,U,U,M,0,4,N,L,F,A,U,1
CA,17,E,H,M,2,4,N,L,E,A,S,2
other,51,E,H,M,2,4,N,L,F,B,R,3
other,1,U,U,M,0,4,N,L,E,A,U,1
WA,44,U,H,M,2,4,N,L,D,D,R,2
other,39,E,H,M,2,4,N,L,F,B,T,2
GA,46,U,U,F,0,4,N,L,F,D,R,2
FL,6,U,U,F,0,4,N,L,F,A,U,2
CA,3,E,H,M,2,4,N,L,G,A,U,1
other,51,U,U,F,0,4,N,L,F,D,R,3
FL,31,E,H,M,3,4,N,L,F,B,C,3
other,43,E,U,M,3,4,N,L,E,D,R,2
WI,17,E,U,M,3,4,N,L,F,B,S,2
CA,2,I,H,M,3,4,Y,L,F,A,U,1
CA,27,I,U,F,0,4,N,L,F,A,C,2
FL,5,E,H,M,3,4,Y,L,G,A,U,2
FL,11,E,H,F,3,4,N,L,F,A,S,1
TX,17,E,U,F,2,4,N,L,F,B,S,2
CA,22,E,H,M,3,4,N,L,G,A,C,1
other,36,E,U,F,3,4,N,L,E,D,T,2
FL,23,U,U,M,0,4,N,L,G,C,C,1
other,43,U,H,F,2,4,N,L,F,D,R,2
TX,35,U,U,F,2,4,N,L,E,A,T,1
CA,40,E,H,F,3,4,N,L,G,A,T,2
GA,49,E,H,other,2,4,N,L,F,C,R,2
WA,46,U,U,F,2,4,N,L,E,D,R,2
CA,13,U,U,F,0,4,N,L,F,A,S,1
CA,7,U,U,F,0,4,N,L,D,A,U,2
FL,8,E,H,F,3,4,N,L,F,A,U,3
MI,35,E,U,F,2,4,N,L,F,C,T,1
TX,30,E,H,M,3,4,N,L,G,B,C,3
CA,36,U,U,F,0,4,N,L,F,A,T,2
other,41,U,U,F,1,4,N,L,E,C,T,3
IL,2,E,H,M,3,12,N,L,F,A,U,1
FL,8,I,U,F,0,4,N,L,F,A,U,3
other,18,U,U,F,3,4,N,L,D,A,S,2
CA,8,E,H,F,3,4,N,L,F,A,U,3
WI,32,E,H,M,3,4,N,L,E,C,C,3
other,44,E,H,M,3,4,N,L,G,A,R,2
IL,1,E,H,F,3,4,N,L,F,A,U,1
other,26,E,U,F,3,4,N,L,E,B,C,2
CA,10,U,H,F,3,4,N,L,F,A,U,4
other,53,U,U,F,0,4,N,L,E,D,R,3
other,38,U,U,F,0,4,N,L,F,D,T,2
other,27,E,U,M,1,4,N,L,F,C,C,2
other,24,U,U,F,1,12,N,L,G,C,C,1
WA,53,E,H,other,3,4,N,L,F,C,R,3
other,46,U,U,F,0,4,N,L,G,C,R,2
WA,43,I,U,F,0,4,N,L,F,D,R,2
other,28,U,U,M,0,4,N,L,E,B,C,2
TX,53,E,H,F,3,4,N,L,F,A,R,3
CA,19,E,H,F,3,4,N,L,F,A,S,2
TX,53,U,U,M,3,4,N,L,G,D,R,3
CA,2,U,U,M,0,12,N,L,F,A,U,1
other,41,E,H,F,3,4,N,L,E,C,T,3
other,36,E,H,M,2,4,N,L,E,D,T,2
other,32,E,H,M,3,4,N,L,F,B,C,3
other,27,U,H,other,3,4,N,L,E,B,C,2
CA,20,I,U,M,0,4,N,L,E,A,S,2
FL,3,U,U,F,0,4,N,L,F,A,U,1
other,18,E,U,M,3,4,N,L,E,B,S,2
other,39,E,H,F,3,4,N,L,E,B,T,2
GA,35,U,U,F,0,4,N,L,E,A,T,1
MO,38,I,U,M,0,4,N,L,E,B,T,2
FL,37,U,U,F,2,4,N,L,E,D,T,2
other,4,U,U,F,3,4,N,L,F,A,U,2
other,30,E,H,F,3,4,N,L,F,B,C,3
WA,44,E,H,M,3,4,N,L,F,A,R,2
other,49,E,H,M,3,4,N,L,F,D,R,2
FL,24,E,H,F,3,4,N,L,F,A,C,1
NC,36,E,H,F,3,4,N,L,F,C,T,2
other,43,U,H,F,3,4,N,L,E,C,R,2
CA,24,E,H,F,3,4,N,L,F,A,C,1
IL,15,E,U,F,3,4,N,L,G,B,S,1
CA,36,U,U,other,2,4,N,L,E,C,T,2
IL,20,U,U,F,0,4,N,L,F,A,S,2
MI,22,E,H,F,2,4,Y,L,F,A,C,1
other,44,U,H,other,3,4,N,L,F,D,R,2
TX,35,E,H,M,3,4,N,L,F,A,T,1
WA,27,I,U,F,0,4,N,L,E,A,C,2
CA,14,I,U,F,0,4,N,L,F,A,S,1
other,12,U,H,M,1,4,Y,L,D,A,S,1
FL,30,E,H,M,3,4,Y,L,F,B,C,3
WA,48,U,H,F,2,4,N,L,F,D,R,2
WI,44,E,H,F,3,4,N,L,F,B,R,2
other,32,E,H,F,3,4,N,L,D,B,C,3
IL,8,U,U,M,0,4,N,L,D,A,U,3
MI,12,E,H,F,3,4,N,L,G,A,S,1
other,30,E,H,F,3,4,N,L,F,B,C,3
other,22,E,H,F,3,12,N,L,E,C,C,1
CA,30,E,H,M,3,4,N,L,G,B,C,3
NC,32,E,H,F,3,4,N,L,G,B,C,3
other,27,E,U,M,1,12,N,L,E,C,C,2
MO,27,E,H,M,2,4,N,L,E,B,C,2
IN,42,E,H,F,2,4,Y,L,F,B,R,1
WI,34,E,H,M,3,4,N,L,F,B,T,1
CA,6,E,H,F,3,4,N,L,G,A,U,2
CA,12,I,H,F,1,4,N,L,F,A,S,1
MI,40,E,H,M,2,4,N,L,E,D,T,2
other,41,U,U,F,0,4,N,L,G,B,T,3
CA,5,E,H,F,3,4,N,L,F,A,U,2
MO,13,E,H,F,3,4,N,L,F,A,S,1
other,21,E,H,M,3,4,Y,L,F,B,S,3
FL,27,I,U,F,0,4,N,L,G,B,C,2
other,28,E,H,F,3,4,N,L,G,D,C,2
other,36,E,H,F,3,4,N,L,D,D,T,2
other,39,E,U,M,3,4,N,L,F,B,T,2
MI,40,E,H,F,3,4,N,L,F,C,T,2
TX,14,U,U,M,0,4,N,L,F,B,S,1
IN,51,I,U,F,0,4,N,L,E,D,R,3
other,49,E,U,F,1,4,N,L,G,D,R,2
other,39,U,U,M,3,4,N,L,F,B,T,2
IN,36,U,U,F,0,4,N,L,G,C,T,2
MO,45,E,H,M,3,4,N,L,D,D,R,2
CA,12,E,H,M,3,4,Y,L,E,A,S,1
other,42,E,H,F,2,4,N,L,G,C,R,1
GA,47,E,H,M,2,4,N,L,F,D,R,2
CA,18,E,H,F,3,4,N,L,F,B,S,2
GA,11,E,H,F,3,4,Y,L,E,A,S,1
WI,45,U,U,M,2,4,N,L,E,D,R,2
other,51,I,H,M,3,4,N,L,D,D,R,3
CA,13,E,H,M,3,4,N,L,F,A,S,1
GA,24,E,H,F,3,4,Y,L,F,B,C,1
CA,18,E,H,M,3,12,Y,L,E,A,S,2
WA,13,E,H,F,2,4,N,L,F,A,S,1
TX,46,E,H,F,2,12,N,L,E,A,R,2
CA,7,I,U,M,0,4,N,L,G,A,U,2
other,49,U,U,M,0,4,N,L,F,B,R,2
IL,16,U,U,F,0,4,N,L,F,A,S,2
other,34,E,H,M,3,4,Y,L,F,B,T,1
MI,18,E,H,M,1,4,N,L,F,B,S,2
TX,12,E,H,M,3,4,N,L,D,A,S,1
other,49,E,H,F,3,12,Y,L,F,A,R,2
MI,35,U,U,F,0,12,N,L,E,A,T,1
other,45,U,U,F,0,4,N,L,E,D,R,2
TX,36,E,U,M,2,4,N,L,G,A,T,2
CA,18,U,U,M,0,4,N,L,F,B,S,2
TX,23,U,U,F,0,1,N,L,E,B,C,1
IL,13,E,U,F,1,4,N,L,E,B,S,1
FL,16,E,H,F,3,4,N,L,F,B,S,2
TX,30,U,H,F,3,4,N,L,G,B,C,3
IL,40,E,H,F,2,1,N,L,G,B,T,2
other,33,U,U,F,0,4,N,L,D,D,C,3
MI,11,U,U,M,0,4,N,L,E,B,S,1
WA,40,I,U,F,0,4,N,L,D,B,T,2
FL,23,E,H,M,3,4,N,L,F,A,C,1
CA,2,U,H,F,1,4,N,L,G,A,U,1
CA,24,E,H,M,3,4,Y,L,G,A,C,1
other,41,E,U,F,2,4,N,L,G,D,T,3
IL,22,E,H,F,2,4,N,L,F,A,C,1
WA,40,E,H,F,3,4,N,L,G,A,T,2
other,12,E,H,F,3,4,N,L,E,A,S,1
other,51,U,U,F,2,12,N,L,E,D,R,3
GA,47,U,U,F,3,4,N,L,F,D,R,2
GA,11,E,H,M,3,4,Y,L,E,A,S,1
other,15,U,U,other,3,4,N,L,F,A,S,1
other,14,E,H,M,3,4,N,L,G,A,S,1
other,43,E,U,M,1,4,N,L,G,C,R,2
other,26,E,U,F,3,4,N,L,D,B,C,2
CA,2,E,H,M,3,4,N,L,F,A,U,1
TX,30,I,U,M,0,4,N,L,E,B,C,3
TX,1,E,H,M,3,4,Y,L,F,A,U,1
TX,41,E,H,F,2,4,Y,L,F,B,T,3
FL,20,U,H,F,1,4,N,L,F,C,S,2
CA,40,E,H,F,3,4,N,L,G,A,T,2
CA,12,U,U,F,0,4,N,L,D,A,S,1
other,30,E,H,M,3,4,N,L,E,B,C,3
other,39,U,U,F,0,4,N,L,F,B,T,2
FL,12,I,U,M,0,4,N,L,F,A,S,1
GA,47,E,H,M,2,4,N,L,E,D,R,2
other,17,E,H,F,2,12,N,L,G,B,S,2
other,18,E,H,M,2,4,N,L,F,A,S,2
other,14,E,H,M,3,4,N,L,F,B,S,1
MI,5,E,H,F,2,4,N,L,F,A,U,2
other,14,E,H,M,3,4,Y,L,F,B,S,1
FL,27,I,H,F,2,4,N,L,F,B,C,2
FL,31,I,H,M,3,4,N,L,D,A,C,3
TX,9,U,U,F,0,4,N,L,F,A,U,3
other,44,E,H,F,2,4,N,L,F,A,R,2
other,45,U,U,F,0,4,N,L,F,D,R,2
CA,19,E,H,F,3,4,N,L,G,A,S,2
CA,19,U,U,M,0,4,N,L,G,A,S,2
IN,51,U,U,M,1,4,Y,L,F,D,R,3
MO,4,E,H,F,3,4,Y,L,D,A,U,2
FL,20,E,U,F,3,4,N,L,F,A,S,2
CA,12,E,H,M,2,4,N,L,F,A,S,1
other,31,U,U,M,0,4,N,L,F,C,C,3
other,35,E,H,F,3,4,N,L,F,B,T,1
TX,43,E,U,F,3,4,N,L,E,B,R,2
CA,15,U,U,M,2,4,N,L,G,A,S,1
MI,36,E,H,F,3,4,N,L,E,D,T,2
CA,16,E,H,M,3,4,N,L,F,B,S,2
other,30,E,H,M,2,4,N,L,F,B,C,3
FL,41,E,H,M,3,4,N,L,G,A,T,3
WA,12,E,H,M,2,4,Y,L,G,C,S,1
other,11,U,H,M,2,4,N,L,G,A,S,1
other,40,U,U,M,2,4,N,L,F,B,R,2
other,43,U,U,F,0,4,N,L,G,D,R,2
WI,12,E,H,F,3,4,N,L,E,B,S,1
FL,29,U,H,F,1,4,N,L,G,B,C,2
CA,9,U,U,F,0,4,N,L,D,A,U,3
other,13,I,H,M,3,4,N,L,F,B,S,1
MI,16,E,H,F,3,4,Y,L,E,A,S,2
MI,36,I,U,F,0,4,N,L,F,B,T,2
FL,23,U,U,F,1,4,N,L,F,B,C,1
CA,39,U,U,F,0,4,N,L,G,A,T,2
WI,30,I,H,M,2,4,N,L,D,C,C,3
NC,24,U,H,M,3,4,Y,L,F,B,C,1
CA,6,E,H,M,2,4,N,L,F,A,U,2
WI,27,U,U,other,2,12,N,L,F,C,C,2
WA,40,U,U,F,0,4,N,L,G,C,R,2
FL,2,U,U,F,0,4,N,L,E,A,U,1
IL,16,U,H,F,2,4,Y,L,G,B,S,2
WA,40,U,U,M,1,12,N,L,E,A,T,2
other,17,E,H,M,3,4,N,L,F,A,S,2
other,48,E,U,F,2,4,N,L,F,D,R,2
other,41,E,U,M,3,4,Y,L,F,C,T,3
CA,1,E,H,F,3,4,N,L,G,A,U,1
IL,4,U,U,M,0,4,N,L,F,A,U,2
other,8,E,H,M,3,4,N,L,E,B,U,3
other,39,U,U,F,3,4,N,L,F,C,T,2
FL,35,U,H,M,2,12,N,L,G,B,T,1
MI,14,U,H,other,3,4,N,L,F,A,S,1
CA,2,U,U,F,0,4,N,L,E,A,U,1
MI,31,E,U,F,3,4,N,L,G,D,C,3
GA,13,E,H,M,3,4,N,L,E,A,S,1
MO,11,E,U,F,3,4,N,L,F,A,S,1
other,34,E,H,M,3,4,Y,L,G,B,T,1
other,40,E,H,M,3,4,N,L,F,B,T,2
CA,27,I,H,M,3,4,N,L,F,A,C,2
WA,27,E,H,F,2,4,Y,L,G,C,C,2
CA,12,U,U,F,0,4,N,L,F,A,S,1
FL,17,E,H,M,3,4,N,L,E,B,S,2
TX,24,E,H,M,2,4,N,L,F,C,C,1
other,40,E,H,F,3,4,N,L,E,B,T,2
FL,41,E,H,M,3,4,N,L,F,C,T,3
NC,40,U,U,F,0,4,N,L,F,C,R,2
GA,14,E,H,M,1,4,Y,L,G,A,S,1
CA,14,E,H,M,3,4,N,L,F,A,S,1
other,2,I,U,F,0,4,N,L,F,A,U,1
other,40,E,H,F,3,12,N,L,F,B,R,2
MI,49,E,H,F,2,4,N,L,E,A,R,2
FL,35,E,H,F,3,4,N,L,F,B,T,1
MI,40,E,U,F,2,4,N,L,F,A,T,2
GA,35,E,H,F,3,4,N,L,G,A,T,1
FL,7,U,U,M,0,4,N,L,F,A,U,2
IL,16,E,H,F,2,4,N,L,F,A,S,2
TX,24,E,H,F,3,4,N,L,G,A,C,1
other,40,E,H,M,3,4,N,L,E,B,T,2
other,28,U,U,F,0,4,N,L,E,C,C,2
FL,23,E,H,F,3,12,N,L,E,A,C,1
IN,36,E,H,M,2,4,N,L,F,B,T,2
CA,7,E,H,F,3,4,N,L,E,A,U,2
other,17,U,U,F,0,12,N,L,D,A,S,2
other,49,E,H,F,3,4,N,L,E,D,R,2
FL,40,E,H,F,3,4,N,L,F,B,T,2
other,30,U,U,F,0,4,N,L,E,D,C,3
IL,36,E,H,F,3,4,N,L,F,D,T,2
CA,20,E,U,F,3,4,Y,L,F,A,S,2
NC,40,E,H,M,3,4,Y,L,F,C,R,2
FL,40,E,H,F,3,4,Y,L,F,C,T,2
FL,26,E,U,F,3,4,N,L,D,B,C,2
CA,5,E,H,F,3,4,N,L,F,A,U,2
CA,10,E,H,F,3,4,N,L,F,A,U,4
MO,43,U,U,F,0,4,N,L,F,D,R,2
other,18,U,H,F,2,4,N,L,F,C,S,2
other,9,E,U,F,1,4,N,L,G,B,U,3
other,25,E,H,M,3,4,N,L,F,B,C,2
WA,21,U,U,F,0,4,N,L,F,A,S,3
WA,15,U,U,F,1,4,N,L,F,A,S,1
other,27,U,U,F,0,4,N,L,E,C,C,2
MI,21,E,U,F,3,4,N,L,G,A,S,3
CA,34,U,U,M,0,4,N,L,E,B,T,1
NC,36,U,U,F,0,4,N,L,E,C,T,2
NC,51,E,H,M,3,4,N,L,D,B,R,3
other,11,E,H,M,1,4,N,L,F,B,S,1
NC,46,U,U,F,2,4,N,L,D,C,R,2
GA,43,I,U,F,0,4,N,L,F,D,R,2
MO,45,E,U,F,2,4,N,L,F,D,R,2
TX,22,U,U,F,0,4,N,L,F,B,C,1
CA,13,E,U,M,3,4,N,L,F,A,S,1
CA,52,U,U,F,0,4,N,L,E,C,R,3
IL,36,U,H,other,2,4,N,L,F,D,T,2
MI,25,E,U,F,3,4,N,L,F,C,C,2
other,53,E,U,F,3,4,N,L,E,D,R,3
CA,42,E,H,M,3,4,Y,L,F,B,R,1
NC,34,U,U,F,0,4,N,L,G,C,T,1
WA,46,E,H,F,3,4,N,L,G,D,R,2
other,30,E,H,F,3,4,N,L,F,C,C,3
other,47,U,U,M,0,4,N,L,F,D,R,2
IN,40,U,U,F,0,4,N,L,D,C,T,2
other,17,E,H,F,3,4,N,L,G,B,S,2
